name,repo,total_sloc,rust_sloc,rust_share_pct,num_langs,top_langs,languages_json
fern,daboross/fern,2744,2744,100.0,1,Rust (2744),"{""Rust"": 2744}"
bytemuck,Lokathor/bytemuck,5206,5206,100.0,1,Rust (5206),"{""Rust"": 5206}"
fastrace,fast/fastrace,6326,6326,100.0,1,Rust (6326),"{""Rust"": 6326}"
rust-yew-realworld-example-app,jetli/rust-yew-realworld-example-app,2422,2422,100.0,1,Rust (2422),"{""Rust"": 2422}"
async-channel,smol-rs/async-channel,1374,1374,100.0,1,Rust (1374),"{""Rust"": 1374}"
jwt-hack,hahwul/jwt-hack,4211,4211,100.0,1,Rust (4211),"{""Rust"": 4211}"
miniserde,dtolnay/miniserde,3224,3224,100.0,1,Rust (3224),"{""Rust"": 3224}"
bb8,djc/bb8,2167,2167,100.0,1,Rust (2167),"{""Rust"": 2167}"
cargo-mommy,Gankra/cargo-mommy,373,373,100.0,1,Rust (373),"{""Rust"": 373}"
dhat-rs,nnethercote/dhat-rs,1454,1454,100.0,1,Rust (1454),"{""Rust"": 1454}"
imageproc,image-rs/imageproc,16891,16891,100.0,1,Rust (16891),"{""Rust"": 16891}"
awesome-rust,awesome-rust-com/awesome-rust,3,3,100.0,1,Rust (3),"{""Rust"": 3}"
biodiff,8051Enthusiast/biodiff,11390,11390,100.0,1,Rust (11390),"{""Rust"": 11390}"
flowgger,awslabs/flowgger,7704,7704,100.0,1,Rust (7704),"{""Rust"": 7704}"
num-traits,rust-num/num-traits,4683,4683,100.0,1,Rust (4683),"{""Rust"": 4683}"
proc-macro2,dtolnay/proc-macro2,5185,5185,100.0,1,Rust (5185),"{""Rust"": 5185}"
rustfix,rust-lang/rustfix,865,865,100.0,1,Rust (865),"{""Rust"": 865}"
kurbo,linebender/kurbo,12663,12663,100.0,1,Rust (12663),"{""Rust"": 12663}"
cargo-show-asm,pacak/cargo-show-asm,3612,3612,100.0,1,Rust (3612),"{""Rust"": 3612}"
actix-extras,actix/actix-extras,8912,8912,100.0,1,Rust (8912),"{""Rust"": 8912}"
bevy_mod_picking,aevyrie/bevy_mod_picking,5100,5100,100.0,1,Rust (5100),"{""Rust"": 5100}"
leafwing-input-manager,Leafwing-Studios/leafwing-input-manager,12850,12850,100.0,1,Rust (12850),"{""Rust"": 12850}"
jieba-rs,messense/jieba-rs,2416,2416,100.0,1,Rust (2416),"{""Rust"": 2416}"
bootimage,rust-osdev/bootimage,1316,1316,100.0,1,Rust (1316),"{""Rust"": 1316}"
rust-av,rust-av/rust-av,4682,4682,100.0,1,Rust (4682),"{""Rust"": 4682}"
datafrog,rust-lang/datafrog,1400,1400,100.0,1,Rust (1400),"{""Rust"": 1400}"
ch57x-keyboard-tool,kriomant/ch57x-keyboard-tool,1130,1130,100.0,1,Rust (1130),"{""Rust"": 1130}"
AEADs,RustCrypto/AEADs,14838,14838,100.0,1,Rust (14838),"{""Rust"": 14838}"
arrayvec,bluss/arrayvec,2222,2222,100.0,1,Rust (2222),"{""Rust"": 2222}"
cargo-ndk,bbqsrc/cargo-ndk,2023,2023,100.0,1,Rust (2023),"{""Rust"": 2023}"
slab,tokio-rs/slab,1445,1445,100.0,1,Rust (1445),"{""Rust"": 1445}"
roaring-rs,RoaringBitmap/roaring-rs,15410,15410,100.0,1,Rust (15410),"{""Rust"": 15410}"
autometrics-rs,autometrics-dev/autometrics-rs,4010,4010,100.0,1,Rust (4010),"{""Rust"": 4010}"
bus,jonhoo/bus,649,649,100.0,1,Rust (649),"{""Rust"": 649}"
rust-sciter,sciter-sdk/rust-sciter,9842,9842,100.0,1,Rust (9842),"{""Rust"": 9842}"
tuc,riquito/tuc,6050,6050,100.0,1,Rust (6050),"{""Rust"": 6050}"
halo2,zcash/halo2,36572,36572,100.0,1,Rust (36572),"{""Rust"": 36572}"
directories-rs,dirs-dev/directories-rs,540,540,100.0,1,Rust (540),"{""Rust"": 540}"
arbitrary,rust-fuzz/arbitrary,3240,3240,100.0,1,Rust (3240),"{""Rust"": 3240}"
fishnet,lichess-org/fishnet,4299,4299,100.0,1,Rust (4299),"{""Rust"": 4299}"
smartcore,smartcorelib/smartcore,25414,25414,100.0,1,Rust (25414),"{""Rust"": 25414}"
arboard,1Password/arboard,2818,2818,100.0,1,Rust (2818),"{""Rust"": 2818}"
jsonrpc,paritytech/jsonrpc,13556,13556,100.0,1,Rust (13556),"{""Rust"": 13556}"
renet,lucaspoffo/renet,7726,7726,100.0,1,Rust (7726),"{""Rust"": 7726}"
nanoserde,not-fl3/nanoserde,8962,8962,100.0,1,Rust (8962),"{""Rust"": 8962}"
felix,kyoheiu/felix,6330,6330,100.0,1,Rust (6330),"{""Rust"": 6330}"
rust-esp32-std-demo,ivmarkov/rust-esp32-std-demo,1190,1190,100.0,1,Rust (1190),"{""Rust"": 1190}"
minesweeper-rs,robmikh/minesweeper-rs,1303,1303,100.0,1,Rust (1303),"{""Rust"": 1303}"
window-vibrancy,tauri-apps/window-vibrancy,745,745,100.0,1,Rust (745),"{""Rust"": 745}"
tower-http,tower-rs/tower-http,14757,14757,100.0,1,Rust (14757),"{""Rust"": 14757}"
bevy_ecs_ldtk,Trouv/bevy_ecs_ldtk,8735,8735,100.0,1,Rust (8735),"{""Rust"": 8735}"
steamguard-cli,dyc3/steamguard-cli,7396,7396,100.0,1,Rust (7396),"{""Rust"": 7396}"
svd2rust,rust-embedded/svd2rust,7761,7761,100.0,1,Rust (7761),"{""Rust"": 7761}"
xcap,nashaofu/xcap,3990,3990,100.0,1,Rust (3990),"{""Rust"": 3990}"
swash,dfrg/swash,22774,22774,100.0,1,Rust (22774),"{""Rust"": 22774}"
Spartan,microsoft/Spartan,6877,6877,100.0,1,Rust (6877),"{""Rust"": 6877}"
akula,akula-bft/akula,41107,41107,100.0,1,Rust (41107),"{""Rust"": 41107}"
papaya,ibraheemdev/papaya,6402,6402,100.0,1,Rust (6402),"{""Rust"": 6402}"
Figment,SergioBenitez/Figment,4359,4359,100.0,1,Rust (4359),"{""Rust"": 4359}"
lowfi,talwat/lowfi,1856,1856,100.0,1,Rust (1856),"{""Rust"": 1856}"
heed,meilisearch/heed,7869,7869,100.0,1,Rust (7869),"{""Rust"": 7869}"
password-hashes,RustCrypto/password-hashes,7030,7030,100.0,1,Rust (7030),"{""Rust"": 7030}"
advent-of-code-rust,fspoettel/advent-of-code-rust,1396,1396,100.0,1,Rust (1396),"{""Rust"": 1396}"
elliptic-curves,RustCrypto/elliptic-curves,161078,161078,100.0,1,Rust (161078),"{""Rust"": 161078}"
erased-serde,dtolnay/erased-serde,3407,3407,100.0,1,Rust (3407),"{""Rust"": 3407}"
binance-rs,ccxt/binance-rs,7053,7053,100.0,1,Rust (7053),"{""Rust"": 7053}"
Nova,microsoft/Nova,22700,22700,100.0,1,Rust (22700),"{""Rust"": 22700}"
rustcat,robiot/rustcat,354,354,100.0,1,Rust (354),"{""Rust"": 354}"
ultraviolet,fu5ha/ultraviolet,8849,8849,100.0,1,Rust (8849),"{""Rust"": 8849}"
jsonrpsee,paritytech/jsonrpsee,19787,19787,100.0,1,Rust (19787),"{""Rust"": 19787}"
serde_with,jonasbb/serde_with,26760,26760,100.0,1,Rust (26760),"{""Rust"": 26760}"
bevy_prototype_lyon,Nilirad/bevy_prototype_lyon,1592,1592,100.0,1,Rust (1592),"{""Rust"": 1592}"
h3,hyperium/h3,16743,16743,100.0,1,Rust (16743),"{""Rust"": 16743}"
twilight,twilight-rs/twilight,80502,80502,100.0,1,Rust (80502),"{""Rust"": 80502}"
runebender,linebender/runebender,11665,11665,100.0,1,Rust (11665),"{""Rust"": 11665}"
xshell,matklad/xshell,2035,2035,100.0,1,Rust (2035),"{""Rust"": 2035}"
governor,boinkor-net/governor,3399,3399,100.0,1,Rust (3399),"{""Rust"": 3399}"
rowan,rust-analyzer/rowan,4199,4199,100.0,1,Rust (4199),"{""Rust"": 4199}"
object,gimli-rs/object,48559,48559,100.0,1,Rust (48559),"{""Rust"": 48559}"
Ares,bee-san/Ares,9756,9756,100.0,1,Rust (9756),"{""Rust"": 9756}"
cargo-auditable,rust-secure-code/cargo-auditable,2848,2848,100.0,1,Rust (2848),"{""Rust"": 2848}"
tui-realm,veeso/tui-realm,9227,9227,100.0,1,Rust (9227),"{""Rust"": 9227}"
voyager,mattsse/voyager,1659,1659,100.0,1,Rust (1659),"{""Rust"": 1659}"
binrw,jam1garner/binrw,15461,15461,100.0,1,Rust (15461),"{""Rust"": 15461}"
reflect,dtolnay/reflect,3012,3012,100.0,1,Rust (3012),"{""Rust"": 3012}"
kubectl-view-allocations,davidB/kubectl-view-allocations,1446,1446,100.0,1,Rust (1446),"{""Rust"": 1446}"
kiro-editor,rhysd/kiro-editor,4856,4856,100.0,1,Rust (4856),"{""Rust"": 4856}"
git-graph,mlange-42/git-graph,3208,3208,100.0,1,Rust (3208),"{""Rust"": 3208}"
minitrace-rust,tikv/minitrace-rust,6025,6025,100.0,1,Rust (6025),"{""Rust"": 6025}"
mockito,lipanski/mockito,3487,3487,100.0,1,Rust (3487),"{""Rust"": 3487}"
garde,jprochazk/garde,6537,6537,100.0,1,Rust (6537),"{""Rust"": 6537}"
halp,orhun/halp,1073,1073,100.0,1,Rust (1073),"{""Rust"": 1073}"
serpl,yassinebridi/serpl,4706,4706,100.0,1,Rust (4706),"{""Rust"": 4706}"
font-kit,servo/font-kit,6924,6924,100.0,1,Rust (6924),"{""Rust"": 6924}"
cargo-hack,taiki-e/cargo-hack,5674,5674,100.0,1,Rust (5674),"{""Rust"": 5674}"
cargo-instruments,cmyr/cargo-instruments,760,760,100.0,1,Rust (760),"{""Rust"": 760}"
lru-rs,jeromefroe/lru-rs,1607,1607,100.0,1,Rust (1607),"{""Rust"": 1607}"
wiremock-rs,LukeMathWalker/wiremock-rs,2408,2408,100.0,1,Rust (2408),"{""Rust"": 2408}"
owo-colors,owo-colors/owo-colors,3221,3221,100.0,1,Rust (3221),"{""Rust"": 3221}"
dirs-rs,dirs-dev/dirs-rs,202,202,100.0,1,Rust (202),"{""Rust"": 202}"
dyn-clone,dtolnay/dyn-clone,287,287,100.0,1,Rust (287),"{""Rust"": 287}"
avbroot,chenxiaolong/avbroot,21894,21894,100.0,1,Rust (21894),"{""Rust"": 21894}"
ruduino,avr-rust/ruduino,20601,20601,100.0,1,Rust (20601),"{""Rust"": 20601}"
iocraft,ccbrown/iocraft,8201,8201,100.0,1,Rust (8201),"{""Rust"": 8201}"
always-online-stun,pradt2/always-online-stun,1168,1168,100.0,1,Rust (1168),"{""Rust"": 1168}"
indoc,dtolnay/indoc,813,813,100.0,1,Rust (813),"{""Rust"": 813}"
progenitor,oxidecomputer/progenitor,148383,148383,100.0,1,Rust (148383),"{""Rust"": 148383}"
statrs,statrs-dev/statrs,18800,18800,100.0,1,Rust (18800),"{""Rust"": 18800}"
hck,sstadick/hck,2505,2505,100.0,1,Rust (2505),"{""Rust"": 2505}"
block-ciphers,RustCrypto/block-ciphers,14830,14830,100.0,1,Rust (14830),"{""Rust"": 14830}"
zip-old,zip-rs/zip-old,4853,4853,100.0,1,Rust (4853),"{""Rust"": 4853}"
parry,dimforge/parry,43202,43202,100.0,1,Rust (43202),"{""Rust"": 43202}"
thunder,0x676e67/thunder,1564,1564,100.0,1,Rust (1564),"{""Rust"": 1564}"
typify,oxidecomputer/typify,26408,26408,100.0,1,Rust (26408),"{""Rust"": 26408}"
gl-rs,rust-windowing/gl-rs,3354,3354,100.0,1,Rust (3354),"{""Rust"": 3354}"
ed25519-dalek,dalek-cryptography/ed25519-dalek,2123,2123,100.0,1,Rust (2123),"{""Rust"": 2123}"
sendme,n0-computer/sendme,1076,1076,100.0,1,Rust (1076),"{""Rust"": 1076}"
statig,mdeloof/statig,9469,9469,100.0,1,Rust (9469),"{""Rust"": 9469}"
async-stream,tokio-rs/async-stream,866,866,100.0,1,Rust (866),"{""Rust"": 866}"
prettyplease,dtolnay/prettyplease,91470,91470,100.0,1,Rust (91470),"{""Rust"": 91470}"
topngx,gsquire/topngx,499,499,100.0,1,Rust (499),"{""Rust"": 499}"
std-training,esp-rs/std-training,1366,1366,100.0,1,Rust (1366),"{""Rust"": 1366}"
cargo-pgo,Kobzol/cargo-pgo,2172,2172,100.0,1,Rust (2172),"{""Rust"": 2172}"
generational-arena,fitzgen/generational-arena,1462,1462,100.0,1,Rust (1462),"{""Rust"": 1462}"
nomino,yaa110/nomino,1569,1569,100.0,1,Rust (1569),"{""Rust"": 1569}"
Peng,makeecat/Peng,2178,2178,100.0,1,Rust (2178),"{""Rust"": 2178}"
adsb_deku,rsadsb/adsb_deku,4841,4841,100.0,1,Rust (4841),"{""Rust"": 4841}"
tar-rs,alexcrichton/tar-rs,5658,5658,100.0,1,Rust (5658),"{""Rust"": 5658}"
agate,mbrubeck/agate,1387,1387,100.0,1,Rust (1387),"{""Rust"": 1387}"
pcap2socks,zhxie/pcap2socks,6367,6367,100.0,1,Rust (6367),"{""Rust"": 6367}"
traits,RustCrypto/traits,11006,11006,100.0,1,Rust (11006),"{""Rust"": 11006}"
pin-project,taiki-e/pin-project,11528,11528,100.0,1,Rust (11528),"{""Rust"": 11528}"
polling,smol-rs/polling,5047,5047,100.0,1,Rust (5047),"{""Rust"": 5047}"
glfw-rs,PistonDevelopers/glfw-rs,3860,3860,100.0,1,Rust (3860),"{""Rust"": 3860}"
chili,dragostis/chili,768,768,100.0,1,Rust (768),"{""Rust"": 768}"
reedline,nushell/reedline,15710,15710,100.0,1,Rust (15710),"{""Rust"": 15710}"
pubgrub,pubgrub-rs/pubgrub,5488,5488,100.0,1,Rust (5488),"{""Rust"": 5488}"
ytui-music,sudipghimire533/ytui-music,3246,3246,100.0,1,Rust (3246),"{""Rust"": 3246}"
Plonky3,Plonky3/Plonky3,43810,43810,100.0,1,Rust (43810),"{""Rust"": 43810}"
libcosmic,pop-os/libcosmic,37495,37495,100.0,1,Rust (37495),"{""Rust"": 37495}"
fast_rsync,dropbox/fast_rsync,1917,1917,100.0,1,Rust (1917),"{""Rust"": 1917}"
mimalloc_rust,purpleprotocol/mimalloc_rust,567,567,100.0,1,Rust (567),"{""Rust"": 567}"
ruma,ruma/ruma,81976,81976,100.0,1,Rust (81976),"{""Rust"": 81976}"
cacache-rs,zkat/cacache-rs,3824,3824,100.0,1,Rust (3824),"{""Rust"": 3824}"
ryu,dtolnay/ryu,2992,2992,100.0,1,Rust (2992),"{""Rust"": 2992}"
systemstat,valpackett/systemstat,3484,3484,100.0,1,Rust (3484),"{""Rust"": 3484}"
Peroxide,Axect/Peroxide,24470,24470,100.0,1,Rust (24470),"{""Rust"": 24470}"
httparse,seanmonstar/httparse,6443,6443,100.0,1,Rust (6443),"{""Rust"": 6443}"
docuum,stepchowfun/docuum,1482,1482,100.0,1,Rust (1482),"{""Rust"": 1482}"
relly,KOBA789/relly,1900,1900,100.0,1,Rust (1900),"{""Rust"": 1900}"
probe-run,knurling-rs/probe-run,2639,2639,100.0,1,Rust (2639),"{""Rust"": 2639}"
gpt-macro,retrage/gpt-macro,240,240,100.0,1,Rust (240),"{""Rust"": 240}"
puppy-browser,lmt-swallow/puppy-browser,3078,3078,100.0,1,Rust (3078),"{""Rust"": 3078}"
lazyjj,Cretezy/lazyjj,5894,5894,100.0,1,Rust (5894),"{""Rust"": 5894}"
ouroboros,someguynamedjosh/ouroboros,2674,2674,100.0,1,Rust (2674),"{""Rust"": 2674}"
KiteSQL,KipData/KiteSQL,35118,35118,100.0,1,Rust (35118),"{""Rust"": 35118}"
mutagen,llogiq/mutagen,5605,5605,100.0,1,Rust (5605),"{""Rust"": 5605}"
semver,dtolnay/semver,2251,2251,100.0,1,Rust (2251),"{""Rust"": 2251}"
rust-ctrlc,Detegr/rust-ctrlc,568,568,100.0,1,Rust (568),"{""Rust"": 568}"
hackernews-TUI,aome510/hackernews-TUI,5398,5398,100.0,1,Rust (5398),"{""Rust"": 5398}"
cavif-rs,kornelski/cavif-rs,1093,1093,100.0,1,Rust (1093),"{""Rust"": 1093}"
dbus-rs,diwic/dbus-rs,17401,17401,100.0,1,Rust (17401),"{""Rust"": 17401}"
magi,a16z/magi,6725,6725,100.0,1,Rust (6725),"{""Rust"": 6725}"
shiplift,softprops/shiplift,5441,5441,100.0,1,Rust (5441),"{""Rust"": 5441}"
static-assertions,nvzqz/static-assertions,730,730,100.0,1,Rust (730),"{""Rust"": 730}"
wickdb,Fullstop000/wickdb,15307,15307,100.0,1,Rust (15307),"{""Rust"": 15307}"
keyring-rs,open-source-cooperative/keyring-rs,3303,3303,100.0,1,Rust (3303),"{""Rust"": 3303}"
serialport-rs,serialport/serialport-rs,5057,5057,100.0,1,Rust (5057),"{""Rust"": 5057}"
native_db,vincent-herlemont/native_db,11828,11828,100.0,1,Rust (11828),"{""Rust"": 11828}"
test-case,frondeus/test-case,2357,2357,100.0,1,Rust (2357),"{""Rust"": 2357}"
iai,bheisler/iai,425,425,100.0,1,Rust (425),"{""Rust"": 425}"
salva,dimforge/salva,6567,6567,100.0,1,Rust (6567),"{""Rust"": 6567}"
pico-args,RazrFalcon/pico-args,1024,1024,100.0,1,Rust (1024),"{""Rust"": 1024}"
narrowlink,narrowlink/narrowlink,9587,9587,100.0,1,Rust (9587),"{""Rust"": 9587}"
distant,chipsenkbeil/distant,52726,52726,100.0,1,Rust (52726),"{""Rust"": 52726}"
pollster,zesterer/pollster,250,250,100.0,1,Rust (250),"{""Rust"": 250}"
shadow-rs,baoyachi/shadow-rs,1941,1941,100.0,1,Rust (1941),"{""Rust"": 1941}"
RSA,RustCrypto/RSA,6631,6631,100.0,1,Rust (6631),"{""Rust"": 6631}"
ggrs,gschup/ggrs,4152,4152,100.0,1,Rust (4152),"{""Rust"": 4152}"
pb-jelly,dropbox/pb-jelly,18206,18206,100.0,1,Rust (18206),"{""Rust"": 18206}"
prsqlite,kawasin73/prsqlite,17086,17086,100.0,1,Rust (17086),"{""Rust"": 17086}"
noodles,zaeleus/noodles,89512,89512,100.0,1,Rust (89512),"{""Rust"": 89512}"
num_cpus,seanmonstar/num_cpus,802,802,100.0,1,Rust (802),"{""Rust"": 802}"
cfg-if,rust-lang/cfg-if,154,154,100.0,1,Rust (154),"{""Rust"": 154}"
jmap-server,stalwartlabs/jmap-server,94,94,100.0,1,Rust (94),"{""Rust"": 94}"
dotenv,dotenv-rs/dotenv,1133,1133,100.0,1,Rust (1133),"{""Rust"": 1133}"
esp-idf-hal,esp-rs/esp-idf-hal,19293,19293,100.0,1,Rust (19293),"{""Rust"": 19293}"
MozWire,NilsIrl/MozWire,736,736,100.0,1,Rust (736),"{""Rust"": 736}"
com-rs,microsoft/com-rs,3755,3755,100.0,1,Rust (3755),"{""Rust"": 3755}"
bevy_asset_loader,NiklasEi/bevy_asset_loader,5885,5885,100.0,1,Rust (5885),"{""Rust"": 5885}"
todo-or-die,davidpdrsn/todo-or-die,534,534,100.0,1,Rust (534),"{""Rust"": 534}"
pb,a8m/pb,996,996,100.0,1,Rust (996),"{""Rust"": 996}"
pdf-writer,typst/pdf-writer,9403,9403,100.0,1,Rust (9403),"{""Rust"": 9403}"
windows-service-rs,mullvad/windows-service-rs,2165,2165,100.0,1,Rust (2165),"{""Rust"": 2165}"
nanoid,mrdimidium/nanoid,191,191,100.0,1,Rust (191),"{""Rust"": 191}"
chiselstore,chiselstrike/chiselstore,873,873,100.0,1,Rust (873),"{""Rust"": 873}"
savage,p-e-w/savage,3144,3144,100.0,1,Rust (3144),"{""Rust"": 3144}"
rdbc,tokio-rs/rdbc,798,798,100.0,1,Rust (798),"{""Rust"": 798}"
gltf,gltf-rs/gltf,9892,9892,100.0,1,Rust (9892),"{""Rust"": 9892}"
ReGreet,rharish101/ReGreet,2200,2200,100.0,1,Rust (2200),"{""Rust"": 2200}"
plotlars,alceal/plotlars,6782,6782,100.0,1,Rust (6782),"{""Rust"": 6782}"
termchat,lemunozm/termchat,1454,1454,100.0,1,Rust (1454),"{""Rust"": 1454}"
color-backtrace,athre0z/color-backtrace,732,732,100.0,1,Rust (732),"{""Rust"": 732}"
ducker,robertpsoane/ducker,5220,5220,100.0,1,Rust (5220),"{""Rust"": 5220}"
vivid,sharkdp/vivid,788,788,100.0,1,Rust (788),"{""Rust"": 788}"
Nping,hanshuaikang/Nping,1062,1062,100.0,1,Rust (1062),"{""Rust"": 1062}"
rust-phf,rust-phf/rust-phf,3393,3393,100.0,1,Rust (3393),"{""Rust"": 3393}"
cargo-udeps,est31/cargo-udeps,1650,1650,100.0,1,Rust (1650),"{""Rust"": 1650}"
dotenv-linter,dotenv-linter/dotenv-linter,7751,7751,100.0,1,Rust (7751),"{""Rust"": 7751}"
derive_more,JelteF/derive_more,29386,29386,100.0,1,Rust (29386),"{""Rust"": 29386}"
ureq,algesten/ureq,7863,7863,100.0,1,Rust (7863),"{""Rust"": 7863}"
revm,bluealloy/revm,34543,34543,100.0,1,Rust (34543),"{""Rust"": 34543}"
wrkflw,bahdotsh/wrkflw,13065,13065,100.0,1,Rust (13065),"{""Rust"": 13065}"
case-studies,dtolnay/case-studies,256,256,100.0,1,Rust (256),"{""Rust"": 256}"
colored,colored-rs/colored,2324,2324,100.0,1,Rust (2324),"{""Rust"": 2324}"
git2-rs,rust-lang/git2-rs,24985,24985,100.0,1,Rust (24985),"{""Rust"": 24985}"
rand,rust-random/rand,9329,9329,100.0,1,Rust (9329),"{""Rust"": 9329}"
lopdf,J-F-Liu/lopdf,21841,21841,100.0,1,Rust (21841),"{""Rust"": 21841}"
jsonwebtoken,Keats/jsonwebtoken,3025,3025,100.0,1,Rust (3025),"{""Rust"": 3025}"
tao,tauri-apps/tao,27124,27124,100.0,1,Rust (27124),"{""Rust"": 27124}"
sps,alexykn/sps,18897,18897,100.0,1,Rust (18897),"{""Rust"": 18897}"
bumpalo,fitzgen/bumpalo,6412,6412,100.0,1,Rust (6412),"{""Rust"": 6412}"
cosmic-text,pop-os/cosmic-text,9352,9352,100.0,1,Rust (9352),"{""Rust"": 9352}"
gdrive,glotlabs/gdrive,5055,5055,100.0,1,Rust (5055),"{""Rust"": 5055}"
argh,google/argh,4487,4487,100.0,1,Rust (4487),"{""Rust"": 4487}"
reshape,fabianlindfors/reshape,6081,6081,100.0,1,Rust (6081),"{""Rust"": 6081}"
texlab,latex-lsp/texlab,31417,31417,100.0,1,Rust (31417),"{""Rust"": 31417}"
heapless,rust-embedded/heapless,10604,10604,100.0,1,Rust (10604),"{""Rust"": 10604}"
afl.rs,rust-fuzz/afl.rs,1163,1163,100.0,1,Rust (1163),"{""Rust"": 1163}"
fltk-rs,fltk-rs/fltk-rs,66571,66571,100.0,1,Rust (66571),"{""Rust"": 66571}"
glam-rs,bitshifter/glam-rs,177377,177377,100.0,1,Rust (177377),"{""Rust"": 177377}"
kibi,ilai-deutel/kibi,1629,1629,100.0,1,Rust (1629),"{""Rust"": 1629}"
bingrep,m4b/bingrep,2385,2385,100.0,1,Rust (2385),"{""Rust"": 2385}"
rustyline,kkawakam/rustyline,13307,13307,100.0,1,Rust (13307),"{""Rust"": 13307}"
killport,jkfran/killport,1229,1229,100.0,1,Rust (1229),"{""Rust"": 1229}"
macchina,Macchina-CLI/macchina,2596,2596,100.0,1,Rust (2596),"{""Rust"": 2596}"
windows-drivers-rs,microsoft/windows-drivers-rs,16176,16176,100.0,1,Rust (16176),"{""Rust"": 16176}"
mockall,asomers/mockall,11640,11640,100.0,1,Rust (11640),"{""Rust"": 11640}"
docker-compose-wait,ufoscout/docker-compose-wait,862,862,100.0,1,Rust (862),"{""Rust"": 862}"
Av1an,rust-av/Av1an,12216,12216,100.0,1,Rust (12216),"{""Rust"": 12216}"
legion,amethyst/legion,13426,13426,100.0,1,Rust (13426),"{""Rust"": 13426}"
